title,TMDB_ID,bechdel_pass,budget,revenue,primary_genre,popularity,year,language,runtime,TMDB_rating,votes,spoken_language,logbudget,logrevenue
Hard Eight,8052,fail,3000000,222559,Drama,11.216,1996,English Language,102,6.9,594,en,14.914122846632385,12.312947513976795
Hellraiser: Bloodline,8766,fail,4000000,16675000,Horror,16.999,1996,English Language,86,5.4,343,en,15.201804919084164,16.62942114976596
The Hunchback of Notre Dame,10545,fail,100000000,325338851,Drama,41.789,1996,English Language,91,7.1,4000,en,18.420680743952367,19.60037781560642
James and the Giant Peach,10539,pass,38000000,28946127,Adventure,13.799,1996,English Language,79,6.5,1008,en,17.45309671769066,17.180946970650197
Jerry Maguire,9390,fail,50000000,273552592,Comedy,14.479,1996,English Language,138,6.9,2442,en,17.72753356339242,19.427004453845047
Jingle All the Way,9279,fail,60000000,129832389,Family,39.941,1996,English Language,89,5.9,1929,en,17.909855120186375,18.681754861153046
Kingpin,11543,fail,27000000,25023434,Comedy,12.526,1996,English Language,114,6.5,626,en,17.111347423968603,17.03532330378493
Lone Star,26748,fail,5000000,13269963,Drama,9.6,1996,English Language,135,7.1,230,en,15.424948470398375,16.401013618060343
The Long Kiss Goodnight,11412,pass,65000000,89456761,Crime,15.432,1996,English Language,121,6.6,853,en,17.98989782785991,18.309265949187875
Mars Attacks!,75,pass,70000000,101371017,Comedy,18.595,1996,English Language,106,6.4,4277,en,18.064005800013632,18.434297779862266
Marvin's Room,9819,pass,23000000,12803305,Drama,8.616,1996,English Language,98,6.7,470,en,16.951004773893423,16.365213898686157
Matilda,10830,pass,36000000,33459416,Comedy,34.111,1996,English Language,98,7.1,3337,en,17.399029496420383,17.325843799694603
Michael Collins,1770,fail,25000000,16900000,War,10.493,1996,English Language,132,6.9,328,en,17.034386382832476,16.642824179893303
The Mirror Has Two Faces,25189,pass,42000000,41083864,Comedy,11.522,1996,English Language,126,6.7,233,en,17.553180176247643,17.53112599897124
Muppet Treasure Island,10874,fail,31000000,34327391,Action,8.403,1996,English Language,100,6.6,274,en,17.24949776244942,17.35145416487623
The Phantom,9826,pass,45000000,17300889,Adventure,10.335,1996,English Language,100,5.1,415,en,17.622173047734595,16.666268445430962
The Preacher's Wife,21539,pass,40000000,48102795,Family,7.363,1996,English Language,124,5.8,160,en,17.50439001207821,17.68885084149589
Primal Fear,1592,fail,30000000,102616183,Crime,19.465,1996,English Language,129,7.7,2331,en,17.216707939626428,18.44650620730786
The Quest,9103,fail,30000000,57400547,Action,12.52,1996,English Language,95,6.1,489,en,17.216707939626428,17.865564390861113
Ridicule,12709,fail,3000000,2503829,Comedy,9.52,1996,Foreign Language,102,6.9,138,fr,14.914122846632385,14.733331718135384
The Rock,9802,fail,75000000,335062621,Action,23.951,1996,English Language,137,7.1,3505,en,18.132998671500584,19.62982800067862
