title,BT_score.1_is_Pass,TMDB_ID,budget,language,popularity,year,revenue,runtime,TMDB_rating,votes,primary_genre
Afterlife of the Party,1,785457,0,en,58.718,2021-09-02,0,109,6.9,275,Fantasy
Ajeeb Daastaans,1,802403,0,hi,9.996,2021-04-16,0,142,6.8,21,Drama
America: The Motion Picture,1,739542,0,en,104.98,2021-06-30,0,98,5.9,136,Action
Army of the Dead,1,503736,0,en,293.871,2021-05-14,780000,148,6.4,2607,Action
Black Widow,1,497698,200000000,en,576.472,2021-07-07,378328978,134,7.6,6094,Action
Cherry,0,544401,40000000,en,89.988,2021-02-26,0,140,7.5,802,Drama
Cinderella,1,593910,0,en,134.568,2021-09-03,0,113,6.7,915,Fantasy
CODA,1,776503,0,en,47.911,2021-08-11,0,112,8.3,285,Drama
Coming 2 America,1,484718,60000000,en,76.456,2021-03-05,0,110,6.7,1634,Comedy
The Conjuring: The Devil Made Me Do It,0,423108,39000000,en,294.858,2021-05-25,199166992,111,7.7,3921,Horror
Cousins,1,31674,13000000,en,5.69,1989-02-10,22030000,109,6.1,40,Comedy
Cruella,1,337404,200000000,en,595.89,2021-05-26,233274812,134,8.2,6033,Comedy
Drive My Car,1,758866,0,ja,10.879,2021-08-18,0,179,7.3,67,Drama
The Dry,1,567797,0,en,26.789,2021-01-01,17166067,117,6.9,199,Mystery
Dune,1,438631,165000000,en,1364.381,2021-09-15,368077000,155,8,4340,Science Fiction
Escape Room: Tournament of Champions,1,585216,15000000,en,140.904,2021-07-01,44888959,88,6.9,751,Horror
The Eyes of Tammy Faye,1,601470,0,en,10.941,2021-09-17,2404127,126,6.4,37,Drama
Fatherhood,1,607259,0,en,149.173,2021-06-18,0,109,7.7,877,Drama
Finding 'Ohana,1,644092,0,en,81.711,2021-01-29,0,123,6.5,277,Action
Free Guy,0,550988,110000000,en,1591.061,2021-08-11,331096766,115,7.8,3865,Comedy
Good on Paper,1,823461,0,en,18.836,2021-06-23,0,92,5.7,194,Comedy
The Green Knight,0,559907,15000000,en,120.346,2021-07-29,18192220,130,6.7,594,Fantasy
The Guilty,0,567748,0,en,75.753,2021-09-24,0,91,6.5,1157,Drama
Gunpowder Milkshake,1,574060,30000000,en,714.932,2021-07-14,344931,114,6.5,389,Action
High Ground,0,522466,0,en,5.783,2020-02-23,0,104,6.6,38,History
In the Heights,1,467909,55000000,en,28.941,2021-06-10,43000000,143,7.3,371,Drama
The Influencer,1,858258,0,en,2.788,2021-09-14,0,90,5.3,6,Comedy
Jungle Cruise,1,451048,200000000,en,737.379,2021-07-28,217000000,127,7.7,3399,Adventure
The Kissing Booth 3,1,727745,0,en,110.667,2021-08-11,0,112,7.3,1249,Romance
The Last Duel,1,617653,100000000,en,94.261,2021-10-13,27000000,153,7.7,432,Action
The Little Things,1,602269,30000000,en,97.443,2021-01-28,23205000,128,6.4,1331,Thriller
Luca,0,508943,200000000,en,749.048,2021-06-17,49010641,95,8,5174,Animation
Madame Claude,1,660006,0,fr,19.113,2021-04-02,0,112,5.8,147,Crime
Malignant,1,619778,40000000,en,232.334,2021-09-01,24640084,111,7,1056,Horror
The Many Saints of Newark,0,524369,0,en,358.069,2021-09-22,11620603,120,6.8,232,Drama
The Marksman,0,634528,23000000,en,269.911,2021-01-15,22039969,108,7.1,982,Action
The Mauritanian,1,644583,0,en,36.594,2021-02-10,0,129,7.5,567,Drama
Mortal Kombat,0,460465,20000000,en,499.203,2021-04-07,83601013,110,7.3,4077,Action
Moxie,1,583689,0,en,31.69,2021-03-03,0,111,7.5,568,Comedy
Night Teeth,0,669671,21700000,en,222.368,2021-10-20,0,107,6.7,345,Horror
No Sudden Move,1,649409,0,en,99.71,2021-06-24,0,115,6.4,292,Crime
Nobody,0,615457,17000000,en,225.36,2021-03-18,61779301,92,8.3,3691,Action
Old,1,631843,18000000,en,372.309,2021-07-21,90112510,108,6.6,1745,Thriller
Oxygen,1,18561,0,en,4.71,1999-11-12,0,92,6.2,55,Crime
Pig,0,635731,0,en,27.06,2021-07-16,2652024,91,6.7,389,Drama
Plan B,1,44282,0,es,27.855,2009-03-27,0,103,7.3,72,Comedy
Radhe,0,495930,0,en,2.401,2017-04-14,0,138,8,1,Action
Raya and the Last Dragon,1,527774,100000000,en,374.854,2021-03-03,130000000,107,8.1,4584,Family
Reminiscence,0,579047,68000000,en,67.867,2021-08-19,18717947,116,7,890,Science Fiction
Respect,1,592863,0,en,118.618,2021-08-12,31217372,145,6.8,118,Music
Secret Agent Dingledorf and His Trusty Dog Splat,0,841651,0,en,2.173,2021-07-02,0,89,6,2,Comedy
Sentinelle,1,793723,0,fr,117.748,2021-03-05,0,80,5.9,455,Thriller
Space Jam: A New Legacy,1,379686,161900000,en,592.69,2021-07-08,148810604,115,7.3,2626,Animation
Spiral: From the Book of Saw,1,602734,20000000,en,149.885,2021-05-12,36544468,93,6.3,967,Horror
Stowaway,1,559581,0,en,39.224,2021-06-24,0,117,5.9,144,Science Fiction
The Suicide Squad,1,436969,180000000,en,632.843,2021-07-28,167381210,132,7.8,4860,Action
Sweet Girl,1,619297,0,en,319.856,2021-08-18,0,110,6.9,728,Action
Sweetheart,1,463843,0,en,13.308,2019-01-28,0,82,6.4,217,Horror
Those Who Wish Me Dead,0,578701,20000000,en,128.854,2021-05-05,23384502,100,6.9,941,Thriller
Thunder Force,1,615678,0,en,111.232,2021-04-09,0,107,5.7,843,Action
Till Death,0,672741,0,en,41.288,2021-07-02,0,89,6.7,248,Horror
Titane,0,630240,6600000,fr,89.124,2021-07-14,5115725,108,6.7,361,Drama
To All the Boys: Always and Forever,1,614409,0,en,54.035,2021-02-12,0,115,7.8,1440,Romance
The Tomorrow War,0,588228,200000000,en,393.718,2021-07-02,0,138,8.1,4653,Action
The United States vs. Billie Holiday,1,566076,0,en,11.721,2021-03-31,0,131,6.8,139,Music
Us Again,0,779047,0,en,8.499,2021-03-03,0,7,8.1,193,Drama
Willy's Wonderland,1,643586,5000000,en,123.786,2021-02-12,431020,88,6.5,396,Action
Zack Snyder's Justice League,1,791373,70000000,en,362.179,2021-03-18,657000000,242,8.4,6888,Action
18 Presents,1,630220,2500000,it,10.529,2020-01-02,3486375,114,7.5,549,Drama
A Quiet Place Part II,1,520763,61000000,en,256.917,2021-05-21,297372261,97,7.7,3369,Science Fiction
All the Bright Places,1,342470,0,en,62.368,2020-02-28,0,108,7.7,2234,Romance
Ammonite,1,568467,0,en,17.613,2020-11-13,248516,118,7.1,290,Romance
An American Pickle,0,628917,0,en,15.336,2020-08-07,0,89,5.8,253,Comedy
Artemis Fowl,1,475430,125000000,en,39.527,2020-06-12,0,94,5.7,1276,Adventure
Bad Hair,1,530351,0,en,3.633,2021-05-05,0,102,5.4,13,Horror
Blow the Man Down,1,586451,0,en,9.39,2019-04-26,0,90,6.3,197,Drama
Borat Subsequent Moviefilm,1,740985,0,en,25.586,2020-10-23,0,96,6.5,1755,Comedy
Breach,0,651571,0,en,98.154,2020-12-17,39328,92,4.4,472,Science Fiction
The Call,1,158011,13000000,en,43.963,2013-03-14,68572378,94,6.8,2392,Crime
The Courier,1,522241,0,en,189.272,2021-03-18,24901420,112,7.2,488,Thriller
The Craft: Legacy,1,590995,0,en,88.025,2020-10-28,0,94,6.4,486,Horror
The Croods: A New Age,1,529203,65000000,en,491.084,2020-11-25,168285000,95,7.6,2661,Animation
Deep Blue Sea 3,0,703745,5000000,en,59.645,2020-08-25,0,100,6,183,Action
Emma.,1,556678,0,en,24.49,2020-02-13,25155355,125,7.1,1060,Comedy
Enola Holmes,1,497582,21000000,en,29.561,2020-09-23,0,123,7.4,4090,Mystery
Eurovision Song Contest: The Story of Fire Saga,1,531454,0,en,10.832,2020-06-26,0,123,6.5,976,Comedy
Extraction,1,545609,65000000,en,42.124,2020-04-24,0,116,7.4,4230,Drama
Fantasy Island,1,539537,7000000,en,24.822,2020-02-12,47078545,109,6,1697,Horror
Freaky,1,551804,5000000,en,35.429,2020-11-12,15104310,102,6.7,871,Horror
Friend of the World,1,437518,0,en,2.026,2020-08-15,0,50,5.3,3,Comedy
From Stress to Happiness,0,787377,0,en,1.619,2020-12-01,0,60,6.4,7,Documentary
Godmothered,1,662546,0,en,107.192,2020-12-04,0,113,7,428,Family
Greyhound,0,516486,50300000,en,30.385,2020-07-10,0,91,7.4,1969,War
The Half of It,1,597219,0,en,19.433,2020-05-01,0,104,7.2,1143,Comedy
Hamilton,1,556574,0,en,18.466,2020-07-03,0,160,8.4,853,History
Happiest Season,1,520172,0,en,31.037,2020-11-26,1401954,102,7.5,687,Romance
Herself,1,653708,0,en,4.715,2020-11-26,0,97,7.1,42,Drama
The High Note,1,606679,0,en,11.853,2020-06-10,0,113,7.1,306,Romance
Holidate,1,615665,0,en,34.2,2020-10-27,0,104,7.1,1496,Comedy
Honey Boy,0,512263,3500000,en,13.928,2019-11-08,3400977,94,7.2,435,Drama
Horse Girl,1,653601,0,en,14.86,2020-01-27,0,104,5.5,394,Drama
Host,1,723072,0,en,128.043,2020-12-04,26745,57,6.7,442,Horror
How to Be a Good Wife,1,575291,0,fr,9.057,2020-03-11,0,108,5.9,159,Comedy
The Hunt,1,514847,14000000,en,43.667,2020-03-11,8621288,90,6.7,2062,Action
I Care a Lot,1,601666,0,en,51.27,2020-09-12,0,119,6.7,1776,Comedy
I'm Your Woman,1,643612,0,en,8.263,2020-10-15,0,120,6,133,Crime
Infamous,1,703134,0,en,12.337,2020-06-12,0,100,5.9,116,Crime
The Invisible Man,1,570670,7000000,en,29.514,2020-02-26,130234661,124,7.2,4178,Thriller
Iskioma,0,744353,0,el,0.633,2020-09-25,0,15,0,0,Drama
Jiu Jitsu,0,590706,23000000,en,193.198,2020-11-20,99924,102,5.1,448,Fantasy
The King of Staten Island,1,579583,0,en,18.802,2020-07-22,0,137,7,545,Comedy
Legacy of Lies,1,601165,0,en,13.964,2020-07-28,0,101,5.6,174,Thriller
Like a Boss,1,526019,29000000,en,21.02,2020-01-09,26925979,83,6.4,525,Comedy
Lost Girls,1,567970,0,en,14.915,2020-01-28,0,95,6.1,524,Drama
The Lost Husband,1,686142,0,en,7.704,2020-04-10,0,109,7,87,Romance
Love and Monsters,0,590223,30000000,en,47.481,2020-10-16,1070714,109,7.4,2702,Comedy
Ludo,1,349138,0,bn,3.505,2015-07-17,0,90,2.9,34,Horror
Ma Rainey's Black Bottom,1,615667,0,en,14.898,2020-11-25,0,94,6.7,801,Drama
Mainstream,1,557950,5000000,en,36.837,2021-05-07,0,95,5.2,29,Comedy
Malmkrog,1,575448,0,ro,2.81,2020-07-08,0,200,6.7,14,History
Mank,0,614560,25000000,en,15.525,2020-11-13,122252,132,6.9,1096,Drama
Mariah Carey's Magical Christmas Special,1,766319,0,en,4.412,2020-12-04,0,43,6.3,35,Family
The Midnight Sky,1,614911,0,en,24.782,2020-12-10,0,118,5.8,1372,Science Fiction
Minari,1,615643,2000000,en,21.864,2021-02-12,12886100,115,7.4,902,Drama
Misbehaviour,1,567965,0,en,15.676,2020-03-12,1073290,107,6.4,171,Drama
Monster Hunter,1,458576,60000000,en,283.55,2020-12-03,25814306,104,6.9,2269,Action
Mulan,1,337401,200000000,en,200.764,2020-09-04,66800000,115,7,5280,Adventure
My Salinger Year,1,619594,0,en,19.989,2021-01-14,236653,101,6.3,59,Drama
My Spy,1,592834,0,en,23.029,2020-01-09,4418501,99,7,850,Family
Never Rarely Sometimes Always,1,595671,0,en,13.613,2020-03-13,407807,101,7.3,311,Drama
The New Mutants,1,340102,67000000,en,90.662,2020-08-26,45534613,94,6.3,2411,Horror
News of the World,1,581032,0,en,29.671,2020-12-25,0,118,7,1202,Adventure
Nomadland,1,581734,5000000,en,34.113,2021-01-29,14784114,108,7.3,1811,Drama
The Old Guard,1,547016,70000000,en,24.193,2020-07-10,0,125,7.2,3090,Action
One Night in Miami...,0,661914,0,en,11.148,2020-12-25,0,114,7.1,465,Drama
Onward,1,508439,200000000,en,68.262,2020-02-29,141592359,103,7.8,4676,Family
Over the Moon,1,560050,0,en,100.581,2020-10-16,0,100,7.4,987,Animation
Palm Springs,1,587792,0,en,19.905,2020-07-10,164000,90,7.3,1884,Comedy
Penguin Bloom,1,618416,0,en,40.04,2021-01-21,0,95,7.1,144,Drama
Pieces of a Woman,1,641662,0,en,16.268,2020-12-30,0,127,7.1,839,Drama
The Prom,1,611213,0,en,13.671,2020-12-02,0,132,6.3,515,Comedy
Promising Young Woman,1,582014,0,en,27.069,2020-12-13,13868965,114,7.6,1664,Thriller
Relic,1,539181,0,en,13.236,2020-07-03,2902552,89,6,460,Horror
The Retreat,0,821390,0,en,3.712,2021-05-21,0,82,5,15,Horror
The Rhythm Section,0,466622,50000000,en,18.641,2020-01-31,0,109,5.5,431,Action
Run Hide Fight,1,629017,2000000,en,20.85,2020-09-10,0,109,6.7,171,Action
Santana,0,734309,2600000,en,10.658,2020-08-28,0,106,5.7,170,Action
Scare Me,0,653643,0,en,6.902,2020-01-24,0,104,6.3,54,Comedy
Shadow in the Cloud,0,675327,0,en,80.641,2021-01-01,0,83,5.9,489,Horror
Shirley,1,547017,0,en,12.566,2020-09-11,230441,107,6.5,95,Drama
Slaxx,1,605133,0,en,8.449,2020-09-11,0,73,5.8,85,Comedy
Sonic the Hedgehog,1,454626,85000000,en,153.107,2020-02-12,306766470,99,7.4,7268,Action
Soul,1,508442,150000000,en,281.708,2020-12-25,136384442,101,8.2,7254,Animation
Stargirl,1,382748,0,en,18.54,2020-03-10,0,107,7.6,461,Comedy
The Stunt Double,0,730384,0,en,1.883,2020-08-05,0,10,5.3,25,Comedy
Summer of 85,0,659959,0,fr,13.255,2020-07-14,0,101,7.5,412,Romance
Summerland,0,523977,0,en,17.685,2020-07-24,504296,100,7.6,112,Drama
Superintelligence,1,521007,0,en,11.116,2020-12-11,0,106,6,117,Comedy
Tenet,0,577922,205000000,en,119.712,2020-08-22,363129000,150,7.3,6356,Action
To All the Boys: P.S. I Still Love You,1,565426,0,en,27.373,2020-02-12,0,102,6.9,2095,Romance
The Trial of the Chicago 7,0,556984,35000000,en,17.527,2020-09-25,107423,130,7.8,2101,Drama
Trolls World Tour,1,446893,0,en,112.308,2020-03-11,47000000,90,7.5,1659,Family
The Turning,1,492611,14000000,en,17.385,2020-01-23,18472775,94,5.9,730,Horror
Underwater,1,443791,50000000,en,39.904,2020-01-08,40882928,95,6.3,2263,Action
Unhinged,1,625568,33000000,en,23.99,2020-07-16,39238300,90,6.5,1373,Action
Unpregnant,1,632666,0,en,13.158,2020-09-10,0,104,7.1,171,Drama
The Veil,1,257087,4000000,en,10.57,2016-04-21,0,93,4.8,211,Horror
Wolfwalkers,1,441130,12000000,en,29.164,2020-10-26,229041,103,8.5,631,Animation
Wonder Woman 1984,1,464052,200000000,en,289.639,2020-12-16,165160005,151,6.6,6173,Action
Work It,1,612706,0,en,19.036,2020-08-07,0,93,7.7,937,Comedy
You Will Never Be Back,1,723936,0,es,4.086,2021-11-18,0,14,0,0,Science Fiction
1917,0,530915,100000000,en,44.381,2019-12-25,374733942,119,8,8943,War
47 Meters Down: Uncaged,1,480105,12000000,en,18.719,2019-08-15,0,90,5.7,1032,Horror
7500,0,509585,0,en,20.916,2019-12-26,0,93,6.1,547,Action
A Beautiful Day in the Neighborhood,0,501907,4000000,en,17.304,2019-09-07,67760877,109,7,1078,Drama
A Call to Spy,1,589612,0,en,10.553,2020-10-02,0,124,6.7,90,War
"A Dark, Dark Man",0,625046,0,kk,1.658,2019-09-23,0,130,6.9,12,Drama
A Dog's Journey,1,522518,0,en,54.41,2019-05-03,2520000,120,8.1,1024,Family
A New Christmas,0,654083,0,en,2.945,2019-12-06,0,79,6,5,Drama
A.M.I.,1,612587,0,en,5.25,2019-07-02,0,77,4.4,34,Horror
Abominable,1,431580,75000000,en,48.744,2019-09-19,179057149,97,7.6,1536,Family
Ad Astra,0,419704,87500000,en,17.884,2019-09-17,132807427,123,6.1,5119,Science Fiction
The Aeronauts,1,514921,40000000,en,17.752,2019-11-04,0,101,6.8,786,Adventure
After the Wedding,1,527385,0,en,14.194,2019-08-09,0,110,6.4,161,Drama
Aladdin,1,420817,183000000,en,84.278,2019-05-22,1047612394,128,7.1,8197,Adventure
Alita: Battle Angel,1,399579,170000000,en,69.258,2019-01-31,404852543,122,7.2,7069,Action
Always Be My Maybe,1,513576,0,en,14.295,2019-05-31,0,101,6.7,1039,Romance
American Woman,1,339976,0,en,8.736,2018-06-07,0,111,6.4,78,Drama
Angel Has Fallen,0,423204,40000000,en,39.982,2019-08-21,146661977,122,6.5,2554,Action
Anna,1,484641,34000000,fr,34.283,2019-06-19,31626978,119,6.7,1912,Thriller
Annabelle Comes Home,1,521029,30000000,en,70.849,2019-06-26,231252591,106,6.4,2557,Horror
The Art of Racing in the Rain,0,522924,18000000,en,22.093,2019-08-08,33766787,109,8.4,926,Comedy
Article 15,0,597089,0,hi,8.147,2019-05-28,0,130,7.7,100,Drama
The Assistant,1,627463,0,en,13.274,2020-01-31,1338881,88,6.5,272,Drama
Avengers: Endgame,1,299534,356000000,en,275.046,2019-04-24,2797800564,181,8.3,19606,Adventure
Babyteeth,1,522098,0,en,9.183,2020-06-19,989310,118,6.9,196,Drama
Bacurau,0,446159,0,pt,11.615,2019-08-29,0,131,7.9,788,Mystery
Bad Education,1,530723,0,en,12.298,2020-04-25,0,108,6.8,453,Drama
The Beach Bum,0,441384,5000000,en,12.9,2019-03-21,4554065,95,5.6,328,Comedy
Before You Know It,1,565326,0,en,2.342,2019-08-30,0,98,5.4,10,Comedy
Blood Machines,1,536517,0,en,2.691,2020-09-01,0,50,6.3,26,Science Fiction
Bombshells and Dollies,1,596355,0,en,2.942,2020-04-19,0,90,2,1,Documentary
Booksmart,1,505600,6000000,en,34.64,2019-05-24,24849029,102,7.1,1903,Comedy
Brightburn,0,531309,6000000,en,35.635,2019-05-09,32893421,91,6.1,2237,Horror
Captain Marvel,1,299537,152000000,en,112.114,2019-03-06,1128276090,124,6.9,12227,Action
The Cat and the Moon,0,515402,0,en,3.42,2019-10-25,0,114,5.3,8,Drama
Charlie's Angels,1,458897,48000000,en,37.793,2019-11-14,73279888,118,6.6,2274,Action
Clementine,1,47336,2300000,ko,3.502,2004-12-14,0,100,3.3,22,Thriller
Close,1,460321,0,en,20.289,2019-01-18,0,95,5.8,663,Action
Code 8,0,461130,0,en,26.94,2019-12-06,157209,99,6.2,1328,Science Fiction
Cold Pursuit,0,438650,60000000,en,37.596,2019-02-07,76419755,119,5.7,1911,Action
Color Out of Space,0,548473,6000000,en,22.576,2019-09-07,1023510,111,6,866,Horror
Come to Daddy,0,586592,0,en,14.216,2019-04-25,57998,96,5.9,345,Comedy
Cosmos,0,315868,0,fr,4.475,2015-12-03,0,102,6.9,63,Drama
Crawl,1,511987,13500000,en,59.352,2019-07-11,89203432,88,6.3,2335,Thriller
The Curse of La Llorona,1,480414,9000000,en,63.548,2019-04-17,122033739,93,5.7,1784,Horror
Dark Phoenix,1,320288,200000000,en,56.726,2019-06-05,252442974,114,6,4903,Science Fiction
The Dead Don't Die,1,535581,0,en,14.278,2019-05-15,12104595,104,5.5,1768,Comedy
Descendants 3,1,506574,15000000,en,69.693,2019-08-02,0,106,7.9,1160,Family
Doctor Sleep,1,501170,45000000,en,33.674,2019-10-30,72281712,152,7.2,3013,Horror
Dora and the Lost City of Gold,1,499701,49000000,en,59.024,2019-08-08,119682635,102,6.8,1316,Adventure
Downton Abbey,1,535544,20000000,en,16.65,2019-09-12,192094429,122,7.2,769,Drama
El Camino: A Breaking Bad Movie,0,559969,0,en,29.156,2019-10-11,0,123,6.9,3521,Crime
Fahim,0,589978,0,fr,7.576,2019-10-16,0,107,6.8,121,Drama
The Farewell,1,565310,250300,en,15.385,2019-07-12,22110994,100,7.5,1021,Comedy
The Final Level: Escaping Rancala,1,655031,0,en,4.563,2019-12-07,0,87,4.1,11,Action
Five Feet Apart,1,527641,7000000,en,154.288,2019-03-14,91500000,116,8.4,4498,Romance
For Sama,1,576017,0,en,10.23,2019-10-09,0,100,8.3,191,Documentary
Ford v Ferrari,0,359724,97600000,en,55.992,2019-11-13,225508210,153,8,5239,Drama
Furie,1,622654,0,fr,11.739,2019-11-06,0,97,5.9,75,Thriller
Gemini Man,0,453405,138000000,en,39.152,2019-10-02,173469516,117,6.4,4031,Science Fiction
The Gentlemen,1,522627,22000000,en,66.519,2019-12-03,114996853,113,7.7,3733,Action
Godzilla: King of the Monsters,1,373571,170000000,en,81.139,2019-05-29,386600138,132,6.7,4508,Science Fiction
The Goldfinch,0,472674,40000000,en,21.026,2019-09-12,0,149,7.3,611,Drama
Good Boys,1,521777,20000000,en,30.559,2019-08-14,111037232,89,6.9,1373,Comedy
Good Kisser,1,576953,0,en,4.504,2019-05-25,0,74,4.8,16,Romance
The Ground Beneath My Feet,1,568789,0,de,2.245,2019-03-21,0,108,5.8,19,Drama
Guava Island,0,543343,0,en,6.589,2019-04-13,0,55,6.8,255,Comedy
Guns Akimbo,0,457335,0,en,22.821,2020-02-27,835102,95,6.5,1553,Comedy
Happy Death Day 2U,1,512196,9000000,en,25.636,2019-02-13,25327500,100,6.3,2594,Comedy
Harriet,1,506528,0,en,19.766,2019-11-01,0,125,7.3,528,Drama
Her Smell,1,520679,0,en,12.17,2019-04-12,0,136,5.8,82,Drama
The Highwaymen,0,500682,49000000,en,20.654,2019-03-15,0,133,6.7,1519,Crime
Horrible Histories: The Movie - Rotten Romans,1,553002,0,en,8.235,2019-07-26,0,92,5.4,43,Comedy
How to Train Your Dragon: The Hidden World,0,166428,129000000,en,66.596,2019-01-03,517526875,104,7.8,4826,Animation
How to Train Your Dragon: The Hidden World,1,166428,129000000,en,66.596,2019-01-03,517526875,104,7.8,4826,Animation
The Hustle,1,449562,0,en,34.482,2019-05-09,32677774,94,6.3,1921,Comedy
Hustlers,1,540901,20000000,en,55.534,2019-09-12,157600000,110,6.5,2386,Drama
I Am Mother,1,505948,0,en,27.307,2019-06-07,643593,114,6.7,1927,Science Fiction
In the Shadow of the Moon,0,530382,0,en,24.227,2019-09-27,0,115,6.2,965,Mystery
In the Tall Grass,0,523139,0,en,16.28,2019-09-20,0,102,5.5,1587,Horror
Ip Man 4: The Finale,1,449924,52000000,cn,18.968,2019-12-19,0,107,7.3,1469,Action
The Irishman,0,398978,159000000,en,22.637,2019-11-01,8000000,209,7.6,5056,Crime
Iron Sky: The Coming Race,1,302349,21000000,en,15.868,2019-01-25,400900,93,5.1,243,Action
Isn't It Romantic,1,449563,0,en,17.087,2019-02-13,0,89,6.2,3048,Comedy
Jawline,0,565537,0,en,3.076,2019-01-28,0,99,5.8,12,Documentary
John Wick: Chapter 3 - Parabellum,0,458156,55000000,en,124.263,2019-05-15,326709727,130,7.4,7412,Action
Jojo Rabbit,1,515001,14000000,en,33.947,2019-10-18,82468705,108,8.1,6768,Comedy
Joker,1,475557,55000000,en,122.166,2019-10-02,1074251311,122,8.2,19143,Crime
Jumanji: The Next Level,0,512200,125000000,en,114.986,2019-12-04,800059707,123,7,6432,Adventure
Just Mercy,0,522212,25000000,en,15.914,2019-12-25,50401502,137,8,1514,Drama
K-12,1,616584,6000000,en,10.809,2019-09-05,359377,92,7.7,198,Music
The Kid Who Would Be King,0,454294,59000000,en,20.846,2019-01-16,32140970,120,6.1,541,Action
Kim Possible,1,520720,0,en,20.341,2019-02-15,0,86,5.5,210,Family
The Kitchen,1,487680,38000000,en,14.209,2019-08-08,0,102,6.2,518,Drama
Klaus,0,508965,0,en,42.234,2019-11-08,0,96,8.3,2645,Animation
The Knight Before Christmas,1,611207,0,en,30.624,2019-11-21,0,92,6.5,864,Comedy
Knives Out,1,546554,40000000,en,49.381,2019-11-27,309232797,131,7.9,8113,Comedy
Last Christmas,1,549053,30000000,en,33.965,2019-11-07,121550750,102,7.3,1668,Comedy
The Last Full Measure,0,442065,20000000,en,11.059,2020-01-23,3364426,110,7.6,311,War
Late Night,1,523172,4000000,en,13.184,2019-01-25,22384741,102,6.5,600,Comedy
The Laundromat,1,517909,0,en,11.094,2019-09-27,0,96,6,912,Drama
The Lego Movie 2: The Second Part,1,280217,100000000,en,29.075,2019-01-26,190514361,106,6.7,1558,Action
The Lighthouse,0,503919,11000000,en,24.686,2019-10-18,18123239,109,7.5,2965,Drama
The Lion King,1,8587,45000000,en,159.887,1994-06-23,763455561,89,8.3,14673,Family
Little Joe,1,504585,0,en,7.019,2019-11-01,0,106,6,146,Drama
Little Women,1,331482,40000000,en,65.145,2019-12-25,216601214,135,7.9,4297,Drama
Long Shot,1,459992,40000000,en,21.922,2019-05-02,0,125,6.8,2041,Comedy
Luce,1,492616,0,en,10.982,2019-08-02,2268204,109,6.5,173,Thriller
Lucky Grandma,1,597588,0,en,2.467,2020-10-22,0,87,6.6,11,Drama
Lucy in the Sky,1,340104,0,en,12.838,2019-09-20,481707,125,5,128,Drama
Ma,1,502416,5000000,en,23.868,2019-05-29,51749995,99,5.8,1638,Horror
Maleficent: Mistress of Evil,1,420809,185000000,en,133.862,2019-10-16,491570967,119,7.4,4768,Family
Maria,1,591121,0,tl,8.173,2019-03-07,0,89,6.2,115,Action
Marriage Story,0,492188,18000000,en,21.954,2019-09-28,2300000,137,7.8,5291,Drama
Men in Black: International,1,479455,110000000,en,86.524,2019-06-12,252608480,115,6,3674,Comedy
Mercy Black,1,590164,0,en,12.307,2019-03-31,200046,87,6.3,154,Horror
Midsommar,1,530385,9000000,en,40.006,2019-07-03,47980982,148,7.1,4288,Horror
Midway,0,522162,100000000,en,37.3,2019-11-06,125641396,138,7.1,1708,War
Miss Bala,1,500852,15000000,en,18.03,2019-02-01,15200000,104,6.4,394,Action
Missing Link,0,458253,100000000,en,42.954,2019-04-04,26249469,95,7,629,Family
Monos,1,417466,0,es,14.674,2019-09-05,0,103,6.7,256,Drama
Motherless Brooklyn,1,504562,26000000,en,15.961,2019-10-31,18377736,145,6.8,1011,Drama
Murder Mystery,0,514999,24000000,en,25.508,2019-05-25,0,97,6.3,3069,Comedy
My Hero Academia: Heroes Rising,1,592350,0,ja,347.437,2019-12-20,29900850,104,8.5,825,Animation
Nancy Drew and the Hidden Staircase,1,519473,0,en,21.538,2019-03-15,0,89,6.6,165,Crime
Otherhood,1,531509,0,en,10.536,2019-08-13,0,100,6.2,365,Comedy
Paddleton,0,525183,0,en,8.502,2019-02-22,0,89,7,179,Comedy
Papicha,1,592807,0,fr,7.781,2019-10-09,0,108,7.6,183,Drama
The Peanut Butter Falcon,0,463257,0,en,16.199,2019-08-09,0,97,7.4,893,Adventure
Pentagram,0,621103,0,en,3.838,2019-08-08,0,80,5.1,10,Horror
The Perfect Date,0,543540,0,en,26.019,2019-04-12,0,93,6.5,2820,Romance
Performaniax,1,725226,0,de,1.247,2020-07-17,0,76,5,2,Comedy
The Personal History of David Copperfield,1,520900,15600000,en,12.56,2019-11-07,11620337,119,6.5,311,Drama
Pet Sematary,1,8913,11500000,en,33.336,1989-04-21,57469467,103,6.6,1567,Horror
Portrait of a Lady on Fire,1,531428,5740000,fr,14.022,2019-06-17,9923127,120,8.3,1600,Drama
Rambo: Last Blood,0,522938,50000000,en,60.358,2019-09-19,91490353,89,6.5,2856,Action
Ready or Not,1,567609,6000000,en,30.52,2019-08-21,57615777,95,7,2857,Horror
The Report,0,524348,0,en,15.694,2019-09-12,0,118,7.1,710,Thriller
Richard Jewell,1,292011,45000000,en,14.701,2019-12-13,33904605,131,7.5,1726,Drama
Rim of the World,0,531306,0,en,21.282,2019-05-24,0,99,6.1,746,Science Fiction
Rocketman,1,504608,40000000,en,24.828,2019-05-22,167323950,121,7.4,3567,Music
Saand Ki Aankh,1,523278,0,hi,3.008,2019-10-25,0,146,7.3,13,Drama
