title,BT_score.1_is_Pass,TMDB_ID,budget,language,popularity,year,revenue,runtime,TMDB_rating,votes,primary_genre
Papadopoulos & Sons,0,173294,0,el,3.703,2012-12-20,0,109,6,28,Comedy
The Paperboy,1,82390,12500000,en,48.866,2012-09-14,1353868,107,5.6,578,Thriller
Paranormal Activity 4,1,82990,5000000,en,25.556,2012-10-17,142817992,88,5.4,1485,Horror
ParaNorman,1,77174,60000000,en,40.88,2012-08-03,107139399,90,6.9,1980,Family
Parental Guidance,1,88042,25000000,en,18.391,2012-12-25,119772232,104,5.9,386,Comedy
Paris-Manhattan,1,123235,0,fr,8.995,2012-07-18,3031682,79,5.6,148,Comedy
Paulette,1,159121,0,fr,10.583,2012-10-04,29494,87,6.4,319,Crime
People Like Us,1,98548,16000000,en,9.754,2012-06-29,12434778,114,6.8,500,Drama
The Perks of Being a Wallflower,1,84892,13000000,en,27.295,2012-09-20,33400000,103,7.8,8572,Drama
Pitch Perfect,1,114150,17000000,en,30.74,2012-09-28,115400000,112,7.3,5597,Comedy
The Place Beyond the Pines,0,97367,15000000,en,15.187,2013-03-14,35485608,140,6.9,3925,Drama
Populaire,1,136403,0,fr,9.373,2012-11-27,0,111,6.6,442,Comedy
The Possession,1,77883,14000000,en,16.046,2012-08-30,85446075,92,6,1271,Horror
Premium Rush,1,49526,35000000,en,15.283,2012-08-24,31083599,91,6.3,1682,Crime
Price Check,1,84323,0,en,3.356,2012-11-16,0,92,5.3,28,Drama
Project X,0,57214,0,en,129.805,2012-03-01,0,88,6.8,4859,Comedy
Prometheus,1,70981,130000000,en,120.194,2012-05-30,403170142,124,6.5,9835,Science Fiction
Quartet,1,121826,11000000,en,8.539,2012-09-08,59520298,98,6.5,292,Drama
Qwerty,1,123587,0,en,1.309,2012-07-28,0,90,5.9,25,Comedy
Radio Rebel,1,89185,0,en,11.276,2012-06-09,0,90,6.2,717,Comedy
The Raven,0,70436,26000000,en,45.093,2012-03-09,29657751,111,6.3,1015,Crime
Red Dawn,0,60747,65000000,en,64.376,2012-03-15,44806783,93,5.6,1254,Action
Red Tails,0,72431,58000000,en,62.669,2012-01-19,50365377,125,6.5,465,Drama
Renoir,1,134673,0,fr,6.313,2012-07-02,2293798,111,6.3,97,Drama
Resident Evil: Retribution,1,71679,65000000,en,9.313,2012-09-12,240159255,95,5.8,3149,Action
Rise of the Animals,1,108147,7000,en,3.062,2012-05-01,0,70,3.8,12,Comedy
Rise of the Guardians,0,81188,145000000,en,84.817,2012-11-21,306941670,97,7.3,5357,Family
Rock Jocks,0,204779,0,en,5.309,2012-09-01,0,90,4.9,10,Comedy
Rock of Ages,1,80585,75000000,en,15.625,2012-06-13,59418613,123,6.2,1005,Comedy
Ruby Sparks,1,103332,8000000,en,12.725,2012-07-25,9128263,104,7.1,1260,Comedy
Sadako 3D,1,140441,0,ja,6.912,2012-05-12,0,96,5.3,62,Horror
Safe,0,72387,30000000,en,22.562,2012-04-16,40346186,94,6.5,1871,Action
Safety Not Guaranteed,1,84332,750000,en,16.089,2012-06-08,4424699,86,6.8,1102,Comedy
The Sapphires,1,110146,0,en,8.567,2012-08-08,0,103,6.9,162,Comedy
Sassy Pants,1,138907,0,en,3.501,2012-10-26,0,87,5.9,36,Comedy
Savages,1,82525,45000000,en,15.559,2012-07-06,82966152,131,6.3,1772,Crime
Save the Date,0,84333,0,en,9.158,2012-12-14,0,98,5.9,80,Comedy
The Seasoning House,1,127651,0,en,11.903,2012-08-21,0,89,6.2,170,Horror
Seeking a Friend for the End of the World,0,88005,10000000,en,20.183,2012-06-22,9636289,101,6.6,1627,Comedy
The Sessions,0,113947,1000000,en,9.702,2012-05-02,9138338,95,7,420,Drama
Seven Psychopaths,0,86838,15000000,en,16.233,2012-10-12,33035736,110,6.8,3039,Comedy
Shadow Dancer,1,84336,6300000,en,7.912,2012-02-12,1777709,101,5.9,190,Thriller
Shelter,1,17483,500000,en,11.714,2007-06-16,142666,89,7.8,383,Drama
Sightseers,1,117974,0,en,11.381,2012-11-30,61782,88,6.3,369,Adventure
Silent Hill: Revelation 3D,1,61012,20000000,en,27.689,2012-10-10,52302796,94,5.4,1235,Thriller
Silver Linings Playbook,1,82693,21000000,en,30.476,2012-09-08,236412453,122,7.1,10142,Drama
Sinister,0,82507,3000000,en,40.786,2012-03-29,82515113,110,6.8,4174,Horror
The Skinny,1,112735,0,en,3.087,2012-02-10,0,103,6.4,12,Comedy
